hotel_name,rating_and_delivery_time,food_type,location,offer
Jayesh Food Centre,4.1 • 44 mins,Chinese,Malad East, 
The Hangout Pizza Hub,4.3 • 57 mins,Pizzas,Malad West, ₹100 OFF ABOVE ₹749
Royale Masterchef Finedine,4.5 • 59 mins,"Indian, Chinese, Continental, Mexican, Lebanese",Dahisar West, 10% OFF ABOVE ₹1500
Subramanian Snacks,3.8 • 44 mins,"South Indian, Chinese, Fast Food, Arabian, Tandoor",Goregaon, ₹200 OFF ABOVE ₹999
Goaikar's goan Cuisine,4.1 • 41 mins,"North Indian, Seafood, Snacks",Borivali, 
The Gratitude Kitchen,4.3 • 51 mins,"Indian, Burgers, Snacks, Fast Food, Salads, Desserts",Borivali, ₹100 OFF ABOVE ₹999
"KHA - Burgers, Fries, Fried Chicken",4.3 • 47 mins,"Burgers, American, Fast Food",Malad Kan West, 
Hotel Sampoorna Samadhan (By Hotel Apala Samadhan),4.2 • 53 mins,"Malwani, Indian, North Indian, Chinese",Borivali, 
Zyka E Lajawab,3.9 • 65 mins,"Chinese, Street Food, Indian, Kebabs, Tandoor",Malad Kan West, 25% OFF UPTO ₹125
Maldrin's Chinese Restaurant,4.2 • 53 mins,Chinese,Malad West, ₹175 OFF ABOVE ₹449
Mishmashbakery,4.7 • 53 mins,Bakery,Jog Gor East, ₹100 OFF ABOVE ₹999
Goan Katta,4.3 • 44 mins,"Goan, Seafood, Indian, Beverages",Dahisar, 
The Moveable Feast,4.3 • 51 mins,"North Indian, Chinese, Mughlai, Beverages, Biryani",Borivali West, ₹250 OFF ABOVE ₹999
Sisho - Oriental Pure Veg /Jain,4 • 46 mins,Chinese,Jog Gor East, 
Little West Pizza,4.3 • 50 mins,"Pizzas, Italian, Beverages",Dahisar, ₹100 OFF ABOVE ₹749
Flavours 21,4 • 42 mins,"Chinese, Lebanese, Biryani, Thai",Malad East, 20% OFF ABOVE ₹700
Top Star,3.7 • 49 mins,"Indian, Chinese, Tandoor, Biryani",Kandivali West, 
Fussion,3.7 • 43 mins,"North Indian, Tandoor, Mughlai, Parsi, Indian, American, Desserts, Ice Cream",Malad East, ₹175 OFF ABOVE ₹449
Crab Kolambi Pomfret & More,4.3 • 54 mins,"Maharashtrian, Seafood, Biryani, Desserts, Thalis",PIMPRIPADA, 
Amma's,4.4 • 46 mins,"North Indian, Chinese, Tandoor, Beverages",Chincholi Cross Road, 
Classic Comfort,4.2 • 49 mins,"Beverages, Indian, Chinese, South Indian, Fast Food",Jog Gor East, 
Papa'S Multi Cuisine,4.1 • 57 mins,Indian,Malad Kan West, 
Royal Challenge,4.6 • 52 mins,"Indian, Chinese",Goregaon, 
The Game Ranch,4.4 • 55 mins,"Pizzas, North Indian, Burgers, Asian, Chinese",Malad Kan West, 60% OFF UPTO ₹120
Bajrang Bhel Puri,4.3 • 43 mins,"Snacks, Chaat",Malad West, 
Sapna Veg Restaurant,4.2 • 48 mins,"North Indian, South Indian",Malad West, 
The Shawarma fellow,4.2 • 45 mins,Arabian,Malad West, ₹250 OFF ABOVE ₹999
Olive Bistro & Bar,4.1 • 55 mins,"Indian, Italian",Goregaon East, ₹175 OFF ABOVE ₹799
Waffle Town,50 mins,"Waffle, Desserts, Beverages",Malad Kan West, 
Garden Court Restaurant,4.3 • 60 mins,"Indian, Chinese",Malad West, 
Adelkars Kitchen,4.4 • 47 mins,Malwani,Goregaon West, 
Hill View,4.3 • 53 mins,"Indian, Chinese",Dahisar West, 
70's Frogurt Hood,4.3 • 48 mins,"Desserts, Ice Cream",Malad West, ₹175 OFF ABOVE ₹449
SMP Express,4.4 • 50 mins,"Chinese, Tandoor, Indian, Continental",Goregaon East, ₹175 OFF ABOVE ₹449
Gupta Panipuri Center,4 • 42 mins,"Chaat, Snacks",Kandivali West, 
Malad Marathi Katta,4.1 • 79 mins,"Maharashtrian, Biryani, Indian",Malad West, 40% OFF ABOVE ₹1000
Cream Lounge,4.2 • 42 mins,"Snacks, Desserts, Beverages, Ice Cream",Borivali West, 
Lassi & Falooda Co,3.9 • 56 mins,"Ice Cream, Beverages, Juices, Indian, Snacks, Healthy Food",Malad West, 
All About salads,3.9 • 48 mins,"Continental, Healthy Food, Salads",Malad Kan West, ₹125 OFF ABOVE ₹599
Gorai Kinara,4.2 • 44 mins,"Malwani, Chinese, North Indian, Beverages",Borivali West, 
High On Wok - Sassy N Saucy,4.1 • 48 mins,"Asian, Chinese, Salads",Aarey Road, 
Flag's,4.2 • 47 mins,"North Indian, Chinese, Italian, Thai, Mexican",Malad West, 10% OFF ABOVE ₹1200
Namaskar,4.6 • 52 mins,"Indian, Chinese, Tandoor, Biryani",Borivali west, 10% OFF ABOVE ₹500
Neelams pride,4.5 • 49 mins,"Chinese, Indian, Snacks",Borivali West, 
Natural Fresh Ice Cream,3.5 • 43 mins,"Ice Cream, Beverages",Malad Kan East, 
Hotel Amantran,4.2 • 41 mins,Indian,Malad Kan East, 
Agent Jack's Bar,4.2 • 52 mins,"Tandoor, Chinese, Pizzas, Salads, Indian, North Indian, Healthy Food, Pastas, Jain",Borivali West, 
New Chopsticks,4.4 • 31 mins,Chinese,Kandivali East, 
Sagar Sweets,4.4 • 30 mins,"Sweets, Snacks, Bakery",Borivali, 
City Samosa,3.9 • 33 mins,"Snacks, Beverages",Malad Kan East, 
Cake Basket,4.4 • 27 mins,"Bakery, Desserts",malad west , ₹175 OFF ABOVE ₹449
MovieMax,39 mins,"Beverages, Burgers",Malad Kan West, 
Welcome Fast Food,4.5 • 33 mins,"Fast Food, Snacks",Malad Kan East, 
Haagen Dazs Ice Cream & Desserts,38 mins,"Ice Cream, Desserts",Matunga Wadala, ₹125 OFF ABOVE ₹399
Tea Square Bar,4.4 • 40 mins,"Pizzas, Fast Food, Street Food, Juices, Beverages",Malad Kan East, 
Makabo By Juice Time,4.3 • 32 mins,"North Indian, Chinese, Beverages",Borivali, ₹175 OFF ABOVE ₹449
New Sheetal Dugdhalaya,4.6 • 35 mins,"Desserts, Sweets",Malad Kan West, 
Malvani swad,4.2 • 41 mins,"Indian, North Indian",Malad Kan East, 20% OFF UPTO ₹50
Snack Shack,4.4 • 53 mins,"North Indian, Snacks",Borivali West, 
Shanghai Kitchen,4.1 • 53 mins,"Chinese, Asian, Thai, Seafood, Beverages",Malad West, 
Burrp Pizza,4.3 • 66 mins,"Italian, Pizzas",Malad Kan West, ₹125 OFF ABOVE ₹399
American Pie - Butter Crust Pizza,4.6 • 57 mins,"Pizzas, Italian, Pastas",Malad Kan West, 60% OFF UPTO ₹120
Pohewala,46 mins,"Snacks, Fast Food",Jog Gor West, 
Momo's Mealbox,4.2 • 43 mins,"Chinese, Arabian, Fast Food, Burgers, Snacks, Pastas",Borivali, ₹125 OFF ABOVE ₹499
Love & Latte,4.2 • 51 mins,"Beverages, Desserts, Cafe, Pizzas, Snacks, Waffle, Pastas",Malad West, ₹175 OFF ABOVE ₹449
Sardaar Ji,4.3 • 60 mins,"North Indian, Snacks, Chinese, Desserts",Malad Kan East, 
Cake Heaven,3.5 • 40 mins,"Bakery, Snacks",Borivali, 
Bamboo Kitchen,3.7 • 42 mins,"North Indian, Chinese, Biryani, Indian, Tandoor, Thai, Continental",Malad East, 40% OFF UPTO ₹200
Lassi Wala,47 mins,Beverages,Malad Kan West, 25% OFF UPTO ₹125
Dharma's Sandwich,3.6 • 48 mins,"Italian, American, Grill, Pizzas, Pastas, Snacks, Beverages",Borivali, 
Hotel Ballaleshwar,3.8 • 43 mins,South Indian,Malad East, 
Baithack,3.7 • 44 mins,"Beverages, Fast Food, Snacks, Burgers",Malad Kan West, ₹125 OFF ABOVE ₹499
Great Indian Meals,3.8 • 55 mins,"Mangalorean, North Indian, South Indian, Malwani",Goregaon, 15% OFF ABOVE ₹800
Gelato Italiano - Ice Cream,3.3 • 41 mins,"Desserts, Ice Cream",Goregaon East, ₹150 OFF ABOVE ₹699
Brunch n Munch,4.5 • 50 mins,"European, American, Continental, Italian",Malad West, 
Ruchi Restaurant,4.9 • 59 mins,"Italian, Burgers, Pizzas, Pastas, Continental",Gor East, ₹175 OFF ABOVE ₹449
Farzi Cafe,4.2 • 50 mins,Indian,Goregaon East, ₹150 OFF ABOVE ₹799
Cococart,4.6 • 48 mins,"Desserts, Sweets",Jog Gor East, ₹175 OFF ABOVE ₹899
Kings Kulfi,4.7 • 40 mins,Desserts,Goregaon East, 
6th Street Yogurt,4.2 • 55 mins,"Desserts, Ice Cream",Malad Kan West, ₹175 OFF ABOVE ₹449
Diya's Kitchen,4.3 • 48 mins,"South Indian, Snacks, Juices, Desserts",Dahisar West, 20% OFF UPTO ₹100
Shamazing Sugarfree Desserts,4 • 49 mins,"Desserts, Ice Cream",Evershine nagar, 10% OFF ABOVE ₹900
Rosh & Ron,4.2 • 54 mins,"Chinese, Thai",Bmc Colony, 15% OFF UPTO ₹80
Sahara Hotel,4.2 • 45 mins,"Chinese, Continental",Goregaon East, 
Vedant kitchen,4.5 • 44 mins,Indian,Malad Kan East, 
Chai Vibhaag,4.4 • 44 mins,"Indian, Beverages, Snacks",Aarey Road, 
Potlibabas Kitchen,4.2 • 53 mins,"Malwani, Biryani, Seafood, Salads",Borivali, 
Food Lord - The Dining Bar,4.3 • 43 mins,"Chinese, Continental, Indian",Borivali West, 10% OFF ABOVE ₹600
Sweet heart cakes and more,3.6 • 50 mins,Desserts,Kandivali West, ₹250 OFF ABOVE ₹999
Anna Dosa Point,3.3 • 46 mins,South Indian,Goregaon West, 
Joyful Pizza,4.1 • 40 mins,"Pizzas, Italian, Desserts, Beverages",Borivali, ₹175 OFF ABOVE ₹449
The Chinese Corner,2.6 • 50 mins,"Chinese, Lebanese",Jog Gor East, 
Bao Bao,4.5 • 49 mins,"Asian, Chinese, Beverages",Malad Kan West, ₹100 OFF ABOVE ₹749
Egg Station,4.7 • 50 mins,"Indian, Snacks",Malad Kan West, 
Purohit Sweets,4.5 • 27 mins,"Sweets, Fast Food, Desserts",Borivali, ₹100 OFF ABOVE ₹999
Rajus fast food,5 • 33 mins,Fast Food,Dahisar, 
Yummy cake,4.1 • 39 mins,"Bakery, Desserts",Dahisar West, 
Maxus Cakes,3.6 • 30 mins,Bakery,Malad Kan West, 
World Famous Paratha,4.8 • 35 mins,"Indian, Beverages",Borivali, 
Swadesi Dairy Products,4.5 • 30 mins,"Desserts, Sweets",Kandivali West, 
Detox Cold Pressed Juice Bar,4.7 • 35 mins,"Beverages, Juices",Dahisar East, ₹150 OFF ABOVE ₹999
Sri Ram Kulfi And Ice Creams,34 mins,"Desserts, Ice Cream",Malad Kan West, 
Lavista Cake Shop,3.4 • 32 mins,Desserts,Malad East, 
Davat Fast Food,4.5 • 35 mins,"Arabian, Chinese",Malad Kan East, 20% OFF UPTO ₹50
Golden Family Restaurant,2.2 • 37 mins,"Continental, Oriental, Asian",Borivali, 
Ek Batta Do,4.5 • 38 mins,"Beverages, Snacks, Burgers, Pastas",Borivali, 
Centre Point Dhaba,4.3 • 34 mins,"North Indian, Chinese, Snacks",Borivali, 10% OFF ABOVE ₹1000
Red Indian Sizzlers,4.5 • 37 mins,"Pizzas, Chinese, Continental",Kandivali West, 
Brownie Point Cakes Shop Frenchaies,4.4 • 26 mins,"Indian, Bakery, Desserts",Borivali, ₹100 OFF ABOVE ₹999
Super (Borivali),4.3 • 39 mins,"Chinese, Fast Food",Dahisar, 
The Italian Oven,52 mins,Pizzas,Malad Kan West, ₹250 OFF ABOVE ₹999
Maa Laads Kitchen,4 • 75 mins,"Home Food, Rajasthani, North Indian, Indian",Malad West, 
The Dragon House,4.3 • 51 mins,"Chinese, Asian, Thai, Seafood",Malad Kan West, 
Crazy Dough Pizza,4.1 • 43 mins,"Continental, Italian",Borivali West, 
Charlie's Chimney,4 • 43 mins,"Chinese, Biryani",Malad Kan West, 
Panchmukhi,4.6 • 55 mins,"Indian, North Indian, Chinese, Tandoor",Rajan Pada, 
Hotel Side Walk,4.3 • 40 mins,"Indian, Chinese",Dahisar East, 
Rustam Darbar,3.6 • 48 mins,"Chinese, North Indian, Mughlai",Malad Kan West, ₹200 OFF ABOVE ₹749
First Bytes Of Home,4.4 • 50 mins,"Maharashtrian, Street Food, Fast Food",Borivali, 
Aadu's Kitchen,4.5 • 41 mins,"Chinese, Thai, Indian, Snacks",Kandivali East, 10% OFF ABOVE ₹1500
Pappis Kitchen,4.3 • 42 mins,"Indian, Chinese",Borivali West, 
Hotel Kokan Kinara,4.2 • 53 mins,"North Indian, Seafood, Chinese, Tandoor",Borivali, 
Urban Bawarchi,4.6 • 45 mins,"Snacks, Biryani, Desserts",Dahisar, 
Bubble Tea (Badabing Badaboom),4.3 • 54 mins,Beverages,Malad Kan West, 
Break Fast Choice,3.7 • 56 mins,Snacks,Goregaon, 
Al's Kitchen & Grill,4.6 • 54 mins,"Indian, Chinese, Thai, Tandoor, Fast Food",Malad West, 
Geeta Z Veg Hub & Tiffin Service,4.5 • 48 mins,"Indian, Snacks, North Indian",Dahisar, 
Q Fussion,5 • 58 mins,Chinese,Borivali, 
Urban Aladdin,4.3 • 54 mins,"Tandoor, Mughlai, Chinese, Thai, Biryani, North Indian, Pizzas",Malad West, 
Sultanate Biryani By Purple Foods,45 mins,"Biryani, North Indian, Indian",Malad East, ₹100 OFF ABOVE ₹599
Royal Chinese Corner,3 • 40 mins,Chinese,Dahisar, 
Star Biryani,46 mins,Biryani,Malad Kan East, 
Mad Over Momos,53 mins,Chinese,Jog Gor East, 
Marhaba,4.6 • 60 mins,Chinese,Malad Kan West, 
Firangi Burgers,52 mins,"Fast Food, Pizzas, Chinese, Beverages",Jog Gor West, 
Huber And Holly,5 • 50 mins,"Ice Cream, Desserts",Malad West, 
The Bihari Studio,4.4 • 51 mins,Indian,Kandivali East Lokhandwala, 
Franco's Pizzeria,4.2 • 40 mins,"Pizzas, Pastas, Fast Food, Italian",Kandivali West, 30% OFF UPTO ₹150
Farmhouse Brass Anchor,4.4 • 42 mins,"Asian, Continental",Borivali, 
Pednekar Kitchen,3.9 • 49 mins,Seafood,Kandivali East, 
The Fusion Express,4.1 • 50 mins,"North Indian, Chinese, Tandoor, Biryani",Kandivali, 30% OFF UPTO ₹150
Olive Garden,3.9 • 40 mins,"North Indian, Italian, Mexican",Borivali West, 
Has Juice & More,4.1 • 42 mins,"South Indian, North Indian, Chinese, Desserts",Goregaon East, 
B for Biryani,4.3 • 55 mins,"North Indian, Biryani, Kebabs, Chinese, Asian, Thai, Mughlai",Malad West, 
Kwanz,4.6 • 25 mins,"Chinese, Indian, Biryani",Malad Kan East, 
Moyra Da,2.8 • 17 mins,"Bengali, Sweets, Snacks",Malad Kan East, 20% OFF UPTO ₹50
Bhimji And Sons,13 mins,Sweets,Malad Kan East, 30% OFF UPTO ₹75
Hapningzs,4.7 • 49 mins,"Chinese, Indian, Tandoor, Biryani",Kandivali borivali East, 
Tandoor Cafe,2.7 • 33 mins,Beverages,Kandivali East, 
From The Wok,4.7 • 23 mins,Chinese,Malad kan east, 20% OFF ABOVE ₹700
Little Cherry,4 • 23 mins,Desserts,Malad Kan East, 
Fizzy Thakur Village,23 mins,"Beverages, Desserts, Fast Food",Malad Kan East, 
Kulhad Rani,3.9 • 27 mins,"Beverages, Snacks, Chinese",Malad Kan East, 40% OFF UPTO ₹200
Bottle Booth,2.8 • 23 mins,Beverages,Malad Kan East, 
99 Waffles,3.9 • 31 mins,"Waffle, Desserts, Beverages",Mahavir Nagar, ₹100 OFF ABOVE ₹499
Akkad Bakkad Bombay Boom,3.8 • 33 mins,"Fast Food, Italian, Beverages",Kandivali East, 
The Foodstagram,4.3 • 33 mins,"Indian, Chinese, Biryani, Beverages",Kandivali East, 20% OFF UPTO ₹50
Dessero Cake Shop,4.5 • 42 mins,"Bakery, Desserts, Waffle, Beverages, Burgers",Borivali, 
CHINA WOK,46 mins,"Chinese, North Indian",Dahisar, 
Chef's Corner,52 mins,"Italian-American, Mexican, Snacks",Jog Gor East, 
Tasty Corner,40 mins,Indian,Malad Kan East, 
Effingut,47 mins,"Continental, Italian",Malad West, 
Swad deshi mataka,4.5 • 45 mins,"Biryani, Indian",Borivali East, 
Crave Kitchen,24 mins,"Burgers, Beverages, Snacks",Malad Kan East, 
Boba And Mocha,4.8 • 15 mins,Beverages,Malad Kan East, 
Dharma's sandwich - Thakur Village,4.1 • 31 mins,"Pizzas, North Indian, Grill, Beverages",Kandivali East, 20% OFF UPTO ₹50
Subhash Pan Bhandar And Coldrinks,4.5 • 21 mins,Paan,Malad Kan East, ₹100 OFF ABOVE ₹749
Santushti Shakes And More,4.5 • 19 mins,"Desserts, Waffle, Ice Cream",Malad Kan East, 
Spicy Dajiba,23 mins,"Indian, Snacks, Beverages",EVERSHINE MILLANIUM PARADISE, 20% OFF UPTO ₹50
Shahi Caterers,3.9 • 31 mins,"Biryani, Indian",Borivali, 
Janta Farsan And Sweets,4.4 • 34 mins,"Sweets, Snacks, Indian",Malad East, 
Surti Egg Point,3.9 • 34 mins,Indian,Borivali, 
MH11 Assal Missal,4.1 • 30 mins,"Street Food, Maharashtrian, Indian",Dahisar, 20% OFF UPTO ₹120
Momos Canteen,5 • 38 mins,"Chinese, Tibetan",Dahisar East , 
Nuvola Gelato,4.6 • 14 mins,Ice Cream,"Kandivali, Malad East", 
Western Tadka,3.8 • 39 mins,"Italian, North Indian, South Indian, Beverages, Snacks, American, Chinese, Salads, Rajasthani, Tandoor, Lebanese, Hyderabadi, Kebabs, Juices, Biryani",Borivali West, 35% OFF UPTO ₹175
Kanha Sweets Snacks And Dryfruit,3.7 • 34 mins,"Snacks, Chaat, Sweets, Beverages, Desserts",Borivali, 
Momo Guy,3.7 • 46 mins,"Chinese, Fast Food, Beverages",Borivali, ₹175 OFF ABOVE ₹449
# Vegan,4.7 • 46 mins,"North Indian, Chinese",Borivali, ₹175 OFF ABOVE ₹449
Bhau Cha Dhakka,3.8 • 50 mins,"Indian, Chinese, North Indian",Dahisar West, 
Viola Patisserie,5 • 50 mins,Desserts,G2 GARNET PALLADIUM, 
My Little Cafe,4 • 53 mins,"Cafe, Pizzas",Jog Gor East, 
Hotel sekar,4.8 • 45 mins,South Indian,Borivali, 
Sultans Deli,4.3 • 57 mins,"Arabian, Lebanese",Malad West, 20% OFF UPTO ₹100
MexiChino,4.4 • 41 mins,"Mexican, Chinese",Borivali West, 
RTC 2 - Rolls and Chicken Grills,4.1 • 45 mins,"Snacks, Fast Food, North Indian, Street Food",Dahisar West, ₹175 OFF ABOVE ₹449
Soda Frankie Hub,4.1 • 49 mins,"Indian, Fast Food",Malad Kan West, 
SHEIK'S Shawarma,4.3 • 47 mins,"Lebanese, Mediterranean, Arabian, Middle Eastern, Beverages, Desserts, Bakery, Jain",Jog Gor East, ₹175 OFF ABOVE ₹449
Mastee,4 • 53 mins,"Italian, Continental",Borivali West, 
The Veg Treat Legacy,4.4 • 40 mins,"Chinese, South Indian, Biryani, Indian",Borivali, 10% OFF ABOVE ₹600
The China Kitchen,50 mins,"Chinese, Indian",Jog Gor East, 
Monopoly Restaurant & Juice House,3.7 • 51 mins,"Continental, Beverages",Malad West, 
Laxmi Vilas,4.3 • 49 mins,"North Indian, Chinese, Seafood",Daftary Road, 15% OFF UPTO ₹100
Pritam Fast Food,4.2 • 44 mins,"Chinese, Beverages, South Indian, Indian, Fast Food",Jog Gor East, 
Smoothie Bar Inc,4.1 • 50 mins,"Juices, Beverages",Malad West, ₹125 OFF ABOVE ₹499
Bombay Cycle Cafe,4.4 • 45 mins,Pizzas,Borivali, 25% OFF UPTO ₹125
White House Cafe,4.1 • 58 mins,"Italian, Beverages",Borivali, ₹150 OFF ABOVE ₹999
Shuddhi,4.4 • 61 mins,"North Indian, Chinese",Malad West, 
Muchhad Paanwala,4.5 • 44 mins,Paan,Borivali West, 
Parathas And Meals,4.6 • 58 mins,Indian,Ganesh Chowk, 
Bangalore Iyyangars Bakery,4.4 • 45 mins,Bakery,Malad Kan West, 
Suriya's Kitchen,4.3 • 53 mins,"Thai, Chinese, Asian",Borivali, ₹100 OFF ABOVE ₹749
The Hangout Burger Hub,4.5 • 57 mins,"Fast Food, Snacks, American",Malad West, 
The Grove Kitchen And Bar,4 • 49 mins,Indian,Dahisar, 30% OFF UPTO ₹150
SHREE SEVA FOODS,53 mins,"Bakery, Desserts, Snacks",Borivali, 
Aaradhya Family Chinese Corner,3.9 • 47 mins,Chinese,Borivali West, 
Sam Snacks,4.6 • 60 mins,"Indian, South Indian",Malad East, 
Bollywood Burger & Waffles CO,3.9 • 45 mins,Indian,Dahisar West, ₹175 OFF ABOVE ₹449
Sweet Touch By Landmark,3.7 • 59 mins,"Desserts, Sweets",Malad Kan West, ₹100 OFF ABOVE ₹599
Moktu,4.7 • 56 mins,Chinese,Malad Kan West, 
Natural juice center,2.9 • 46 mins,"Beverages, Ice Cream",Malad Kan West, 
The Boat Club,4.3 • 53 mins,"Indian, Thai",Dahisar East, 
Masala Mastee,4.6 • 50 mins,"Maharashtrian, North Indian, Chinese, Fast Food",Borivali West, 
Hotel Navbharat,4.3 • 45 mins,"Chinese, Indian, Beverages",Malad East, 
Coastal Food and Spirits,4.4 • 63 mins,"Indian, Chinese",Malad West, 
Hotel Lotus Court,4.3 • 54 mins,"Indian, Chinese",Dahisar, 
SoonLi Chinese Restaurant,4.4 • 60 mins,Chinese,Malad West, 
Raju's Asian Corner,4.1 • 41 mins,"Indian, Chinese, Tandoor",Borivali, ₹175 OFF ABOVE ₹449
Maratha Biryani Center,4 • 48 mins,"Biryani, Chinese, Mughlai, North Indian, Tandoor",Jog Gor East, 
Flag's Iii,3.8 • 49 mins,"Indian, Continental, Chinese, Italian",Borivali, 10% OFF ABOVE ₹1300
Aai Krupa Fast Food,3.8 • 42 mins,Snacks,Borivali, 
Ashoka Restaurant & Bar,4.3 • 51 mins,Indian,Malad West, 
Mizuna The Oriental Place,4.3 • 60 mins,"Chinese, Fast Food, Snacks, Asian",Kandivali West, 30% OFF UPTO ₹150
Jaya's Kitchen,3.9 • 49 mins,"Chinese, Indian",Malad Kan West, 
Crazy Cakes,28 mins,"Desserts, Bakery",Kandivali East, 10% OFF ABOVE ₹159
Happy Moments,32 mins,Bakery,Borivali, 
The Shivaay,4 • 34 mins,"Indian, Chinese, Continental",Kandivali East, 
Bombay Sweets,3.5 • 28 mins,"Sweets, Desserts",Borivali, 
Banglore Iyangar'S Bekery,4.6 • 23 mins,Bakery,Dahisar, 
Radha Krishna Hotel,3.6 • 26 mins,"Indian, Tandoor",Borivali, 
Da Krem - Home of fresh baking.,4.2 • 29 mins,"Bakery, Desserts",Borivali, 
Laxmi Sweets and Thaali,4.6 • 34 mins,North Indian,Borivali, 
Madhav Fast Food And juice Center,4.3 • 34 mins,"Beverages, Indian, Fast Food, South Indian, Burgers, Pizzas, Snacks",Borivali, 20% OFF ABOVE ₹350
Pooja Pav Bhaji And Snacks Corner,35 mins,"Fast Food, Indian, Chinese",Malad Kan East, 50% OFF UPTO ₹100
Shetty tea and snacks center,4.2 • 44 mins,"Snacks, South Indian",Malad Kan East, 
Cherry & Chocolatte,43 mins,"Bakery, Desserts",Bandra West, 20% OFF UPTO ₹50
Maharaja Darbar,41 mins,"North Indian, Chinese, South Indian, Burgers, Pizzas, Bakery, Beverages",Gandhare Road, 30% OFF UPTO ₹150
Meal By Kilo,3.9 • 40 mins,"North Indian, South Indian, Chinese",Borivali, 
Bhajiyawala & Co,3.9 • 40 mins,"Indian, Italian-American, Continental, Lebanese",Borivali West, 30% OFF UPTO ₹150
North Punjabi Kitchen,3.8 • 41 mins,"North Indian, Punjabi, Maharashtrian, Indian",Kandivali East, 10% OFF UPTO ₹40
Prasadam,3.4 • 37 mins,Indian,Borivali, 
Mumbai Fast Food,4.1 • 39 mins,"Fast Food, Snacks, Pizzas, Beverages",Borivali, 
Joye's Pizzeria,3.7 • 38 mins,"Chinese, Desserts, Burgers, Pizzas, Italian",Kandivali East, 50% OFF UPTO ₹100
Hotel Regency,28 mins,Chinese,Jog Gor East, 
Savory Kitchen,4.2 • 35 mins,"Indian, Bengali",Borivali East, 
Tavola restaurant,4.3 • 30 mins,"Indian, Biryani, Chinese, Pizzas, Seafood",Borivali, 
Vijay Pure Veg,4.6 • 31 mins,Chinese,Kandivali East, 
Konkan Kubera,4.1 • 36 mins,"Chinese, North Indian, Seafood",Borivali, 
Spaghetto,34 mins,"Italian, Beverages",Malad Kan East, 50% OFF UPTO ₹100
Froozo,3.7 • 50 mins,"Pizzas, Beverages, Burgers, Desserts",Malad West, 30% OFF UPTO ₹150
Chinese Foodie,3.7 • 43 mins,"Chinese, Thai",Malad East, 40% OFF UPTO ₹200
Chinese Katta,47 mins,"Chinese, Snacks",Dahisar, ₹200 OFF ABOVE ₹999
Cake Culture,2.6 • 42 mins,Bakery,Borivali West, 
Phat Fork Chinese,4.5 • 55 mins,"Chinese, Asian, Thai",Malad Kan West, ₹125 OFF ABOVE ₹499
Yummy Shawarma,45 mins,"Arabian, Burgers, Kebabs, Snacks, Beverages",Malad Kan West, 50% OFF UPTO ₹250
Panda Momos,3.9 • 42 mins,"Asian, Chinese, Tibetan, Beverages, Desserts",Borivali, ₹175 OFF ABOVE ₹449
The Chinese House,59 mins,Chinese,Jog Gor East, ₹250 OFF ABOVE ₹999
London Dairy,3.8 • 36 mins,Punjabi,Dahisar, 
Pure Veg Bowls & Meals,3 • 36 mins,"Healthy Food, Pizzas, North Indian, Thalis, Biryani, Chinese",Gorai Road, 
The Cake House,3.8 • 39 mins,Desserts,Kandivali West, 
Wack Waffles & Brownies,4.1 • 38 mins,"Waffle, Bakery, Desserts, Beverages, Ice Cream",Borivali, ₹175 OFF ABOVE ₹449
Miami Waffle & Jawbreakers,4 • 38 mins,"Waffle, Bakery, Desserts, Bengali",Borivali, ₹175 OFF ABOVE ₹449
Winners Pizza (Fresh Dough),3.8 • 39 mins,"Pizzas, Italian, Desserts, Beverages",Borivali, ₹175 OFF ABOVE ₹449
Green Dot Pizza,4 • 39 mins,"Pizzas, Italian, Desserts, Beverages",Borivali, ₹175 OFF ABOVE ₹449
MASKA CHASKA,36 mins,"Chinese, Pizzas",Borivali, ₹175 OFF ABOVE ₹449
Cake4u,4.3 • 28 mins,Desserts,Kandivali East, 
Jenny's Brownies,4.4 • 30 mins,"Waffle, Bakery, Ice Cream, Desserts, Beverages",Borivali, ₹175 OFF ABOVE ₹449
Cafe k2k,38 mins,Indian,Malad Kan East, 20% OFF UPTO ₹100
Nomad Salad,4.3 • 55 mins,"Salads, Healthy Food",Malad Kan West, ₹175 OFF ABOVE ₹999
Food Express,4.4 • 52 mins,"Fast Food, Italian, Snacks",Malad, 
Wendy's Flavor Fresh Burgers,43 mins,"Burgers, American, Fast Food, Snacks, Beverages",Goregaon, ₹125 OFF ABOVE ₹499
Mummy's Kitchen,3.5 • 61 mins,"Street Food, South Indian",Borivali, 10% OFF UPTO ₹100
Cake Zone,4.2 • 40 mins,"Bakery, Desserts",Borivali, 
Cake Point,2.4 • 40 mins,Cafe,Malad East, 30% OFF UPTO ₹150
Mumma's kitchen,4.2 • 44 mins,North Indian,Borivali West, ₹175 OFF ABOVE ₹449
Friends Fast Food,4.5 • 43 mins,"Chinese, Indian",Kandivali West, 
Food Hub,4.4 • 49 mins,Chinese,Malad West, 20% OFF UPTO ₹120
Vital Bowls,50 mins,"Healthy Food, Salads, Beverages, Keto",Goregaon, ₹125 OFF ABOVE ₹399
Wakka Makka Chinese,4 • 42 mins,"Chinese, Asian, Desserts, Beverages",Borivali, ₹175 OFF ABOVE ₹449
Tea Villa Cafe,4 • 46 mins,"Beverages, Asian, Italian-American, Arabian, Japanese, Fast Food, Waffle, Salads",Borivali, 
